,set_DC_volt,DC_volt,set_AC_volt,AC_volt,Rs,Rp,Tcpe,p
0,5.0,5.04983001,1.0,0.9916457622190601,-157.97288875558272,145375.00367990063,4.030104668135976e-09,0.9618416032691236
1,8.0,8.0493937,1.0,0.9915342571365211,-37.1280356578318,59981.227889799135,3.5543222630441354e-09,0.98318132550279
2,12.0,12.048083,1.0,0.9896670144015776,-1.349012105814669,13005.676210454018,4.652295803469991e-09,0.9787121787288326
3,15.0,15.0404054,1.0,0.9843871286766307,26.550542909056045,2180.765553486539,1.1412666713140289e-08,0.9533377257655271
