No,f,Z,argZ,Z_real,Z_imag,set_DC_bias,DC_bias,set_AC_volt,AC_volt
0,2000000.0,9.783,-3.44,9.765372804749346,-0.5870119115161776,12.0,12.0503874,1.5,1.4852408121976872
1,1588656.4694,14.18,-60.79,6.920010235877872,-12.376827474573016,12.0,12.0503874,1.5,1.4852408121976872
2,1261914.689,24.52,-75.93,5.960987431167584,-23.784386240671886,12.0,12.0503874,1.5,1.4852408121976872
3,1002374.4673,36.66,-80.65,5.955965196576844,-36.172946777628795,12.0,12.0503874,1.5,1.4852408121976872
4,796214.3411,50.8,-83.08,6.120555155068173,-50.42993956563668,12.0,12.0503874,1.5,1.4852408121976872
5,632455.532,67.56,-84.39,6.604435775834587,-67.23641147535223,12.0,12.0503874,1.5,1.4852408121976872
6,502377.2863,87.8,-85.09,7.514873723342668,-87.47780674503798,12.0,12.0503874,1.5,1.4852408121976872
7,399052.463,112.4,-85.27,9.26854170904192,-112.01720463655461,12.0,12.0503874,1.5,1.4852408121976872
8,316978.6385,141.2,-85.18,11.864425995474623,-140.70065883213874,12.0,12.0503874,1.5,1.4852408121976872
9,251785.0824,176.6,-86.05,12.165251429531798,-176.18049454368176,12.0,12.0503874,1.5,1.4852408121976872
10,200000.0,223.6,-86.52,13.57254706687373,-223.18769223708884,12.0,12.0503874,1.5,1.4852408121976872
11,158865.6469,282.4,-86.55,16.994120202128496,-281.88820457506836,12.0,12.0503874,1.5,1.4852408121976872
12,126191.4689,355.5,-86.33,22.75548106844467,-354.77096566847695,12.0,12.0503874,1.5,1.4852408121976872
13,100237.4467,446.1,-85.95,31.506698423893504,-444.9859974812981,12.0,12.0503874,1.5,1.4852408121976872
14,79621.4341,558.0,-85.39,44.84807476266985,-556.194795184279,12.0,12.0503874,1.5,1.4852408121976872
15,63245.5532,699.3000000000001,-84.75,63.98708193131739,-696.366385852961,12.0,12.0503874,1.5,1.4852408121976872
16,50237.7286,874.2,-83.96,91.98572367952136,-869.3470346410315,12.0,12.0503874,1.5,1.4852408121976872
17,39905.2463,1093.0,-82.99,133.39253286974738,-1084.8296788780226,12.0,12.0503874,1.5,1.4852408121976872
18,31697.8638,1365.0,-81.79,194.9242932998429,-1351.01055505927,12.0,12.0503874,1.5,1.4852408121976872
19,25178.5082,1703.0,-80.29,287.2303892472615,-1678.6029022651148,12.0,12.0503874,1.5,1.4852408121976872
20,20000.0,2122.0,-78.41,426.32454779490877,-2078.7331189807574,12.0,12.0503874,1.5,1.4852408121976872
21,15886.5647,2637.0,-75.98,638.8411440723341,-2558.4469884366085,12.0,12.0503874,1.5,1.4852408121976872
22,12619.1469,3262.0,-72.97,955.3497186353267,-3118.966321572486,12.0,12.0503874,1.5,1.4852408121976872
23,10023.7447,4004.0,-69.3,1415.3132744921456,-3745.5178994427883,12.0,12.0503874,1.5,1.4852408121976872
24,7962.1434,4862.0,-64.91,2061.6891152385215,-4403.235400487578,12.0,12.0503874,1.5,1.4852408121976872
25,6324.5553,5816.0,-59.86,2920.298539934639,-5029.683134915719,12.0,12.0503874,1.5,1.4852408121976872
26,5023.7729,6831.0,-54.24,3991.9769916070654,-5543.165223812096,12.0,12.0503874,1.5,1.4852408121976872
27,3990.5246,7852.0,-48.24,5229.525183093743,-5857.129873870678,12.0,12.0503874,1.5,1.4852408121976872
28,3169.7864,8814.0,-42.06,6543.898826432208,-5904.573155565029,12.0,12.0503874,1.5,1.4852408121976872
29,2517.8508,9658.0,-35.93,7820.415854824404,-5667.279758191852,12.0,12.0503874,1.5,1.4852408121976872
30,2000.0,10370.0,-30.32,8951.585018771004,-5235.076470474383,12.0,12.0503874,1.5,1.4852408121976872
31,1588.6565,10920.0,-25.09,9889.619616068358,-4630.5317026747525,12.0,12.0503874,1.5,1.4852408121976872
32,1261.9147,11340.0,-20.57,10617.002778645452,-3984.32578967066,12.0,12.0503874,1.5,1.4852408121976872
33,1002.3745,11640.0,-16.68,11150.220742879423,-3340.9844933883537,12.0,12.0503874,1.5,1.4852408121976872
34,796.2143,11840.0,-13.47,11514.30550269159,-2757.964610122141,12.0,12.0503874,1.5,1.4852408121976872
35,632.4555,11970.0,-10.79,11758.369681517444,-2240.9021470763428,12.0,12.0503874,1.5,1.4852408121976872
36,502.3773,12060.0,-8.64,11923.140041539244,-1811.7206047963302,12.0,12.0503874,1.5,1.4852408121976872
37,399.0525,12120.0,-6.88,12032.726511423749,-1451.8583613011615,12.0,12.0503874,1.5,1.4852408121976872
38,316.9786,12160.0,-5.44,12105.231627509991,-1152.8084161437175,12.0,12.0503874,1.5,1.4852408121976872
39,251.7851,12170.0,-4.4,12134.13199460162,-933.670572303383,12.0,12.0503874,1.5,1.4852408121976872
40,200.0,12190.0,-3.45,12167.907980772252,-733.5634747306872,12.0,12.0503874,1.5,1.4852408121976872
41,158.8656,12230.0,-2.71,12216.322434224854,-578.2440514648902,12.0,12.0503874,1.5,1.4852408121976872
42,126.1915,12220.0,-2.22,12210.8283481541,-473.3614389831847,12.0,12.0503874,1.5,1.4852408121976872
43,100.2374,12220.0,-1.77,12214.169471275087,-377.4442037860716,12.0,12.0503874,1.5,1.4852408121976872
44,100.0,12210.0,-1.72,12204.498708190018,-366.48503624049863,12.0,12.0503874,1.5,1.4852408121976872
