No,f,Z,argZ,Z_real,Z_imag,set_DC_bias,DC_bias,set_AC_volt,AC_volt
0,1000000.0,37.08,-81.03,5.781413158228275,-36.626515830663784,12.0,12.048083,1.0,0.9896670144015776
1,794328.2347,51.28999999999999,-83.27,6.010713260717001,-50.936582395145436,12.0,12.048083,1.0,0.9896670144015776
2,630957.3445,68.11,-84.58,6.433386190474579,-67.80548386468612,12.0,12.048083,1.0,0.9896670144015776
3,501187.2336,88.45,-85.28,7.278231700369559,-88.15004165237664,12.0,12.048083,1.0,0.9896670144015776
4,398107.1706,113.2,-85.46,8.960352355620612,-112.84481417266424,12.0,12.048083,1.0,0.9896670144015776
5,316227.766,142.4,-85.39,11.445100082803203,-141.9393169072425,12.0,12.048083,1.0,0.9896670144015776
6,251188.6432,178.2,-86.21,11.778975482511903,-177.8102801768851,12.0,12.048083,1.0,0.9896670144015776
7,199526.2315,225.6,-86.69,13.02575362165514,-225.22364383560605,12.0,12.048083,1.0,0.9896670144015776
8,158489.3192,285.0,-86.66,16.60438127942694,-284.51589502579185,12.0,12.048083,1.0,0.9896670144015776
9,125892.5412,358.8,-86.48,22.02922586836072,-358.12309784156724,12.0,12.048083,1.0,0.9896670144015776
10,100000.0,450.5,-86.14,30.327100985574283,-449.47804945938213,12.0,12.048083,1.0,0.9896670144015776
11,79432.8235,564.3,-85.61,43.194348254667865,-562.6444154871302,12.0,12.048083,1.0,0.9896670144015776
12,63095.7344,707.5,-85.0,61.662687993968134,-704.8077488999099,12.0,12.048083,1.0,0.9896670144015776
13,50118.7234,885.5,-84.24,88.8702985007508,-881.0291255369413,12.0,12.048083,1.0,0.9896670144015776
14,39810.7171,1108.0,-83.3,129.27117670606125,-1100.4330796886425,12.0,12.048083,1.0,0.9896670144015776
15,31622.7766,1385.0,-82.13,189.6423682841316,-1371.9550911569904,12.0,12.048083,1.0,0.9896670144015776
16,25118.8643,1729.0,-80.68,280.00859147484493,-1706.1758961784312,12.0,12.048083,1.0,0.9896670144015776
17,19952.6231,2156.0,-78.84,417.29265311765454,-2115.2311556078284,12.0,12.048083,1.0,0.9896670144015776
18,15848.9319,2683.0,-76.51,625.8785682379524,-2608.97777258075,12.0,12.048083,1.0,0.9896670144015776
19,12589.2541,3321.0,-73.6,937.6559781751936,-3185.881709447531,12.0,12.048083,1.0,0.9896670144015776
20,10000.0,4085.0,-70.04,1394.4720659125715,-3839.6188166782295,12.0,12.048083,1.0,0.9896670144015776
21,7943.2823,4970.0,-65.79,2038.1086462687636,-4532.881329353826,12.0,12.048083,1.0,0.9896670144015776
22,6309.5734,5968.0,-60.84,2907.908750328783,-5211.630330305604,12.0,12.048083,1.0,0.9896670144015776
23,5011.8723,7028.0,-55.3,4000.896490671973,-5778.028320364023,12.0,12.048083,1.0,0.9896670144015776
24,3981.0717,8109.0,-49.36,5281.425190188045,-6153.245400635926,12.0,12.048083,1.0,0.9896670144015776
25,3162.2777,9153.0,-43.26,6665.684806064209,-6272.643387456739,12.0,12.048083,1.0,0.9896670144015776
26,2511.8864,10080.0,-37.19,8030.085117706573,-6092.957656375711,12.0,12.048083,1.0,0.9896670144015776
27,1995.2623,10860.0,-31.38,9271.53616567438,-5654.928569716154,12.0,12.048083,1.0,0.9896670144015776
28,1584.8932,11490.0,-26.14,10314.805344584593,-5062.103387261971,12.0,12.048083,1.0,0.9896670144015776
29,1258.9254,11970.0,-21.46,11140.158291966187,-4379.243454061102,12.0,12.048083,1.0,0.9896670144015776
30,1000.0,12310.0,-17.44,11744.125624706561,-3689.3919974855944,12.0,12.048083,1.0,0.9896670144015776
31,794.3282,12530.0,-14.06,12154.624434147576,-3044.0113115464505,12.0,12.048083,1.0,0.9896670144015776
32,630.9573,12690.0,-11.29,12444.43381341327,-2484.3846448520126,12.0,12.048083,1.0,0.9896670144015776
33,501.1872,12780.0,-9.03,12621.608466897314,-2005.8413966079295,12.0,12.048083,1.0,0.9896670144015776
34,398.1072,12850.0,-7.22,12748.110953468753,-1614.9820797922264,12.0,12.048083,1.0,0.9896670144015776
35,316.2278,12900.0,-5.72,12835.768838667374,-1285.7053784967961,12.0,12.048083,1.0,0.9896670144015776
36,251.1886,12900.0,-4.59,12858.627902091222,-1032.3218856350322,12.0,12.048083,1.0,0.9896670144015776
37,199.5262,12930.0,-3.59,12904.627102068991,-809.6291475400818,12.0,12.048083,1.0,0.9896670144015776
38,158.4893,12970.0,-2.74,12955.171983099977,-620.0152323140104,12.0,12.048083,1.0,0.9896670144015776
39,125.8925,12980.0,-2.24,12970.081633513568,-507.32871000368885,12.0,12.048083,1.0,0.9896670144015776
40,100.0,12950.0,-1.84,12943.322823915938,-415.80557463407104,12.0,12.048083,1.0,0.9896670144015776
