,freq,z_real_measured,z_imag_measured,z_real_calc,z_imag_calc
0,1000000.0,4.9074440288876255,-50.04998594508629,-153.6387758511455,-71.63172374317948
1,794328.2347,4.964817383282147,-67.60794841104601,-152.55341546112618,-89.38880598052613
2,630957.3445,5.172410421008855,-88.6291970539993,-151.19291854924367,-111.54735041312833
3,501187.2336,5.812849977995362,-114.35235360557,-149.48569782890985,-139.19811716921512
4,398107.1706,7.493493155346224,-145.90770219673388,-147.34053717251984,-173.70204254667755
5,316227.766,10.039397870003832,-182.42395810421326,-144.6406775796144,-216.75708344022232
6,251188.6432,8.235464101156886,-227.85121709360817,-141.23585381199294,-270.48155328421456
7,199526.2315,6.907232776333156,-288.8174166067094,-136.93144919144066,-337.51799205411095
8,158489.3192,6.898528935839392,-365.9349809713761,-131.4735498437393,-421.1625810862579
9,125892.5412,7.42605684984483,-462.44037851344996,-124.52809748287495,-525.5263105599425
10,100000.0,8.343436191568161,-582.9402946035874,-115.65145903743186,-655.7355626147272
11,79432.8235,10.735694139870533,-732.221301842097,-104.24839329739382,-818.181525749275
12,63095.7344,13.540198153194625,-923.5007433857172,-89.51135346565506,-1020.8299651565304
13,50118.7234,18.095718617159413,-1164.8594528816463,-70.33195008198686,-1273.6052835425492
14,39810.7171,26.590376286760236,-1464.7586667737892,-45.170630923956125,-1588.865581464752
15,31622.7766,38.29605354884122,-1843.6022923294993,-11.863357897156021,-1981.9881824145864
16,25118.8643,57.087447963557246,-2319.2975279780317,32.66705608511904,-2472.0876624655734
17,19952.6231,84.55879604989805,-2917.7749759038293,92.8441813025039,-3082.889643487764
18,15848.9319,130.71289842012945,-3669.672756280403,175.09052692316774,-3843.7816267531502
19,12589.2541,201.52156962785338,-4615.602783708183,288.81235019713074,-4791.053537175709
20,10000.0,312.2265097432687,-5802.605932390509,447.8857360700774,-5969.3177465401795
21,7943.2823,486.40864404021977,-7284.779175170855,672.8932239387485,-7433.049020291035
22,6309.5734,757.4257441139667,-9134.651730753254,994.4694578802621,-9248.083564987677
23,5011.8723,1178.1211080912747,-11439.494335619464,1458.2503462567024,-11492.723616734867
24,3981.0717,1828.50634825282,-14293.518269985145,2132.0565912091165,-14257.735035389265
25,3162.2777,2801.8337231219552,-17750.228950297416,3115.994593309037,-17643.898796687987
26,2511.8864,4337.443579019777,-21986.238495905116,4555.905952473767,-21754.74806834801
27,1995.2623,6485.2177291127355,-26950.702235860233,6659.557371189693,-26680.621364022532
28,1584.8932,9658.901238594812,-32818.13106901537,9712.250596822054,-32468.510467410844
29,1258.9254,14197.19005215138,-39240.70201491169,14082.884486499792,-39071.69775303031
30,1000.0,20411.294582118968,-46322.386094435606,20202.396599267275,-46277.5784169024
31,794.3282,28764.327412678183,-53690.2371804805,28487.604399669046,-53627.687734920124
32,630.9573,39273.57965515625,-60452.907631230584,39188.58874019965,-60374.97616387503
33,501.1872,51969.46357435601,-65522.14706336846,52180.74882881349,-65555.2442594255
34,398.1072,66691.67560580674,-68341.49914136974,66806.9954611432,-68231.01798368162
35,316.2278,81941.02457291525,-67715.27517437184,81928.79538216385,-67847.05397274432
36,251.1886,95930.26788992473,-63784.1963386486,96245.28181281159,-64486.07232242221
37,199.5262,111147.98511822613,-59347.49703364566,108715.51563200467,-58828.73419508515
38,158.4893,115456.39651316842,-52421.946779893915,118818.54887912606,-51850.29225440517
39,125.8925,130063.71822897899,-45522.18360813507,126540.66892161104,-44477.457492948
40,100.0,129507.83936623103,-37037.94733365361,132190.91623929347,-37387.43559506669
