,freq,z_real_measured,z_imag_measured,z_real_calc,z_imag_calc
0,1000000.0,5.781413158228275,-36.626515830663784,0.4217927674696722,-47.69977496670586
1,794328.2347,6.010713260717001,-50.936582395145436,0.9247145770699678,-59.75266527813976
2,630957.3445,6.433386190474579,-67.80548386468612,1.586237741564384,-74.84960820042501
3,501187.2336,7.278231700369559,-88.15004165237664,2.4643551310026295,-93.7584201674872
4,398107.1706,8.960352355620612,-112.84481417266424,3.641890720784641,-117.43990317987675
5,316227.766,11.445100082803203,-141.9393169072425,5.238544237917892,-147.09584026287627
6,251188.6432,11.778975482511903,-177.8102801768851,7.429237444153959,-184.22851911659407
7,199526.2315,13.02575362165514,-225.22364383560605,10.472177581413524,-230.71420646742138
8,158489.3192,16.60438127942694,-284.51589502579185,14.75191531254524,-288.89318251836147
9,125892.5412,22.02922586836072,-358.12309784156724,20.84552619677831,-361.6788108485915
10,100000.0,30.327100985574283,-449.47804945938213,29.62436691487277,-452.6872384853599
11,79432.8235,43.194348254667865,-562.6444154871302,42.410297919540135,-566.3868734618751
12,63095.7344,61.662687993968134,-704.8077488999099,61.21459455913858,-708.2612221685486
13,50118.7234,88.8702985007508,-881.0291255369413,89.10062187049238,-884.9670142961425
14,39810.7171,129.27117670606125,-1100.4330796886425,130.72743343908226,-1104.4466090514784
15,31622.7766,189.6423682841316,-1371.9550911569904,193.14739610866118,-1375.9103619338844
16,25118.8643,280.00859147484493,-1706.1758961784312,286.9353804116006,-1709.527440556275
17,19952.6231,417.29265311765454,-2115.2311556078284,427.6902337082292,-2115.5359977497824
18,15848.9319,625.8785682379524,-2608.97777258075,637.805281940275,-2602.3003608638437
19,12589.2541,937.6559781751936,-3185.881709447531,948.0327094785868,-3172.6551177682913
20,10000.0,1394.4720659125715,-3839.6188166782295,1397.6122724513027,-3817.8976619070963
21,7943.2823,2038.1086462687636,-4532.881329353826,2030.5988722843583,-4509.559789185664
22,6309.5734,2907.908750328783,-5211.630330305604,2885.2201363501613,-5191.429074471379
23,5011.8723,4000.896490671973,-5778.028320364023,3974.8043399154813,-5778.310682034529
24,3981.0717,5281.425190188045,-6153.245400635926,5265.792967885783,-6170.528991212495
25,3162.2777,6665.684806064209,-6272.643387456739,6668.3515350669695,-6286.807006101904
26,2511.8864,8030.085117706573,-6092.957656375711,8055.303050566854,-6100.690046020851
27,1995.2623,9271.53616567438,-5654.928569716154,9304.953140603604,-5653.997080809561
28,1584.8932,10314.805344584593,-5062.103387261971,10340.198600676853,-5035.902045140511
29,1258.9254,11140.158291966187,-4379.243454061102,11140.150570553287,-4345.041249847314
30,1000.0,11744.125624706561,-3689.3919974855944,11726.0548762766,-3660.3749608530297
31,794.3282,12154.624434147576,-3044.0113115464505,12138.933412133109,-3031.078014520141
32,630.9573,12444.43381341327,-2484.3846448520126,12422.356304936045,-2480.165714570021
33,501.1872,12621.608466897314,-2005.8413966079295,12613.705327987096,-2012.9501954822917
34,398.1072,12748.110953468753,-1614.9820797922264,12741.6707041282,-1624.849281362134
35,316.2278,12835.768838667374,-1285.7053784967961,12826.885051699124,-1306.8035914523978
36,251.1886,12858.627902091222,-1032.3218856350322,12883.611233055124,-1048.4649012899247
37,199.5262,12904.627102068991,-809.6291475400818,12921.473374874675,-839.8380766462794
38,158.4893,12955.171983099977,-620.0152323140104,12946.872383874479,-671.9974714159605
39,125.8925,12970.081633513568,-507.32871000368885,12964.030658185386,-537.3083756301913
40,100.0,12943.322823915938,-415.80557463407104,12975.72273630127,-429.4034120538979
