,freq,z_real_measured,z_imag_measured,z_real_calc,z_imag_calc
0,1000000.0,9.058520584870935,-26.071118211796545,29.049627802355975,-28.811392601468988
1,794328.2347,10.26278563651545,-37.33515275151465,29.77848061742414,-35.86320976296341
2,630957.3445,12.106433419338401,-50.118538185616764,30.749499342917233,-44.633435686198446
3,501187.2336,14.809355637393065,-64.97362992480268,32.05663417012583,-55.53575797982984
4,398107.1706,18.790524587717965,-82.37400248693982,33.83554046253281,-69.07984615391028
5,316227.766,24.05324942858707,-102.31056246510511,36.2836854713825,-85.8908609669831
6,251188.6432,29.72979091413315,-126.55488742913853,39.69037555294027,-106.73064532642462
7,199526.2315,38.53355582390898,-156.5266912560465,44.481362698527796,-132.5185516340144
8,158489.3192,51.21589630711196,-191.67548608379516,51.284443746581005,-164.34741915804838
9,125892.5412,68.42365180552645,-232.33390599220783,61.02427204446241,-203.48575281130226
10,100000.0,90.96200757325855,-278.62792964497015,75.05546775477917,-251.34935450043275
11,79432.8235,119.56875151883393,-331.3889009309565,95.34049330051408,-309.412872665748
12,63095.7344,155.0695702249061,-392.2609697513416,124.66704989126416,-379.0129305011133
13,50118.7234,199.4388677051933,-462.4252350904635,166.86837444569153,-460.9724044244454
14,39810.7171,256.2438238464352,-544.2992400697956,226.94330137703943,-554.9646164488706
15,31622.7766,331.394477853544,-637.9615270909186,310.8608797506311,-658.5770233069753
16,25118.8643,432.1373175096524,-740.9980963643305,424.7080919291122,-766.2027002549811
17,19952.6231,565.75264096381,-845.1112052519919,572.8439172536202,-868.2553465069453
18,15848.9319,737.724378029859,-938.828387971123,755.1486653345565,-951.6600591167065
19,12589.2541,943.1468187375091,-1003.2961069920067,964.4735042051733,-1002.5710071237959
20,10000.0,1169.4687205886369,-1024.8745833343596,1186.3586885598586,-1011.0467426696134
21,7943.2823,1395.3384908938497,-997.1236111085093,1402.4330944257379,-975.3186295835447
22,6309.5734,1601.3391722723022,-926.3977846186043,1596.1750646617747,-902.6211642863271
23,5011.8723,1770.8824664746744,-823.5194532812045,1757.5269384922544,-805.9285612678632
24,3981.0717,1902.8773136909494,-709.9429054792482,1883.9489054922874,-699.0575170302454
25,3162.2777,1999.1648720734943,-595.5970233869289,1978.4629612963195,-593.0705822871123
26,2511.8864,2065.460517349206,-490.91939386374867,2046.780864502902,-495.02491189119723
27,1995.2623,2108.617488269946,-398.8085858681368,2095.064004958038,-408.4073641027582
28,1584.8932,2137.972610285619,-321.4298020851475,2128.7263399876997,-334.20519336139387
29,1258.9254,2158.617029989662,-258.1637423005244,2152.0367870580335,-271.93746953662577
30,1000.0,2171.2488666698055,-206.00815271509418,2168.1530579060914,-220.40463796631093
31,794.3282,2178.8208900962495,-164.20879659807247,2179.3213870946965,-178.1530233682939
32,630.9573,2183.082292058414,-130.84611610965328,2187.1019397954965,-143.72974452163805
33,501.1872,2186.5338087976043,-103.87927119998884,2192.5633131087416,-115.80508021655275
34,398.1072,2188.4439450828904,-82.54150004715665,2196.432085625022,-93.21913610717702
35,316.2278,2190.0128312567017,-65.76320347280365,2199.201014628254,-74.98860090352048
36,251.1886,2191.3734067217274,-52.407941314372444,2201.204577335187,-60.29463336564752
37,199.5262,2191.6033520747164,-41.698287433248474,2202.670625937034,-48.46317597029903
38,158.4893,2189.7475362579144,-33.25248039460011,2203.755282833503,-38.943459060124475
39,125.8925,2191.8364102957107,-26.779665830861795,2204.5663238687953,-31.28778754762106
40,100.0,2191.902646942818,-20.65880744545166,2205.1788179231125,-25.133537999099925
